"","mirnaID","accession","species","maturemirna"
"155","hsa-miR-26b-5p","MIMAT0000083","Homo sapiens","miR-26b-5p"
"156","hsa-miR-26b-3p","MIMAT0004500","Homo sapiens","miR-26b-3p"
"157","hsa-miR-27a-5p","MIMAT0004501","Homo sapiens","miR-27a-5p"
"158","hsa-miR-27a-3p","MIMAT0000084","Homo sapiens","miR-27a-3p"
"159","hsa-miR-28-5p","MIMAT0000085","Homo sapiens","miR-28-5p"
"160","hsa-miR-28-3p","MIMAT0004502","Homo sapiens","miR-28-3p"
"161","hsa-miR-29a-5p","MIMAT0004503","Homo sapiens","miR-29a-5p"
"162","hsa-miR-29a-3p","MIMAT0000086","Homo sapiens","miR-29a-3p"
"163","hsa-miR-30a-5p","MIMAT0000087","Homo sapiens","miR-30a-5p"
"164","hsa-miR-30a-3p","MIMAT0000088","Homo sapiens","miR-30a-3p"
"165","hsa-miR-31-5p","MIMAT0000089","Homo sapiens","miR-31-5p"
"166","hsa-miR-31-3p","MIMAT0004504","Homo sapiens","miR-31-3p"
"167","hsa-miR-32-5p","MIMAT0000090","Homo sapiens","miR-32-5p"
"168","hsa-miR-32-3p","MIMAT0004505","Homo sapiens","miR-32-3p"
"169","hsa-miR-33a-5p","MIMAT0000091","Homo sapiens","miR-33a-5p"
"170","hsa-miR-33a-3p","MIMAT0004506","Homo sapiens","miR-33a-3p"
"171","hsa-miR-92a-1-5p","MIMAT0004507","Homo sapiens","miR-92a-1-5p"
"172","hsa-miR-92a-3p","MIMAT0000092","Homo sapiens","miR-92a-3p"
"173","hsa-miR-92a-2-5p","MIMAT0004508","Homo sapiens","miR-92a-2-5p"
"174","hsa-miR-93-5p","MIMAT0000093","Homo sapiens","miR-93-5p"
"175","hsa-miR-93-3p","MIMAT0004509","Homo sapiens","miR-93-3p"
"176","hsa-miR-95-5p","MIMAT0026473","Homo sapiens","miR-95-5p"
"177","hsa-miR-95-3p","MIMAT0000094","Homo sapiens","miR-95-3p"
"178","hsa-miR-96-5p","MIMAT0000095","Homo sapiens","miR-96-5p"
"179","hsa-miR-96-3p","MIMAT0004510","Homo sapiens","miR-96-3p"
"180","hsa-miR-98-5p","MIMAT0000096","Homo sapiens","miR-98-5p"
"181","hsa-miR-98-3p","MIMAT0022842","Homo sapiens","miR-98-3p"
"182","hsa-miR-99a-5p","MIMAT0000097","Homo sapiens","miR-99a-5p"
"183","hsa-miR-99a-3p","MIMAT0004511","Homo sapiens","miR-99a-3p"
"184","hsa-miR-100-5p","MIMAT0000098","Homo sapiens","miR-100-5p"
"185","hsa-miR-100-3p","MIMAT0004512","Homo sapiens","miR-100-3p"
"186","hsa-miR-101-5p","MIMAT0004513","Homo sapiens","miR-101-5p"
"187","hsa-miR-101-3p","MIMAT0000099","Homo sapiens","miR-101-3p"
"188","hsa-miR-29b-1-5p","MIMAT0004514","Homo sapiens","miR-29b-1-5p"
"189","hsa-miR-29b-3p","MIMAT0000100","Homo sapiens","miR-29b-3p"
"190","hsa-miR-29b-2-5p","MIMAT0004515","Homo sapiens","miR-29b-2-5p"
"191","hsa-miR-103a-2-5p","MIMAT0009196","Homo sapiens","miR-103a-2-5p"
"192","hsa-miR-103a-3p","MIMAT0000101","Homo sapiens","miR-103a-3p"
"193","hsa-miR-105-5p","MIMAT0000102","Homo sapiens","miR-105-5p"
"194","hsa-miR-105-3p","MIMAT0004516","Homo sapiens","miR-105-3p"
"195","hsa-miR-106a-5p","MIMAT0000103","Homo sapiens","miR-106a-5p"
"196","hsa-miR-106a-3p","MIMAT0004517","Homo sapiens","miR-106a-3p"
"197","hsa-miR-107","MIMAT0000104","Homo sapiens","miR-107"
"198","hsa-miR-16-2-3p","MIMAT0004518","Homo sapiens","miR-16-2-3p"
"411","hsa-miR-192-5p","MIMAT0000222","Homo sapiens","miR-192-5p"
"412","hsa-miR-192-3p","MIMAT0004543","Homo sapiens","miR-192-3p"
"419","hsa-miR-196a-5p","MIMAT0000226","Homo sapiens","miR-196a-5p"
"420","hsa-miR-197-5p","MIMAT0022691","Homo sapiens","miR-197-5p"
"421","hsa-miR-197-3p","MIMAT0000227","Homo sapiens","miR-197-3p"
"422","hsa-miR-198","MIMAT0000228","Homo sapiens","miR-198"
"425","hsa-miR-199a-5p","MIMAT0000231","Homo sapiens","miR-199a-5p"
"426","hsa-miR-199a-3p","MIMAT0000232","Homo sapiens","miR-199a-3p"
"442","hsa-miR-208a-5p","MIMAT0026474","Homo sapiens","miR-208a-5p"
"443","hsa-miR-208a-3p","MIMAT0000241","Homo sapiens","miR-208a-3p"
"444","hsa-miR-129-5p","MIMAT0000242","Homo sapiens","miR-129-5p"
"445","hsa-miR-129-1-3p","MIMAT0004548","Homo sapiens","miR-129-1-3p"
"446","hsa-miR-148a-5p","MIMAT0004549","Homo sapiens","miR-148a-5p"
"447","hsa-miR-148a-3p","MIMAT0000243","Homo sapiens","miR-148a-3p"
"448","hsa-miR-30c-5p","MIMAT0000244","Homo sapiens","miR-30c-5p"
"449","hsa-miR-30c-2-3p","MIMAT0004550","Homo sapiens","miR-30c-2-3p"
"450","hsa-miR-30d-5p","MIMAT0000245","Homo sapiens","miR-30d-5p"
"451","hsa-miR-30d-3p","MIMAT0004551","Homo sapiens","miR-30d-3p"
"458","hsa-miR-139-5p","MIMAT0000250","Homo sapiens","miR-139-5p"
"459","hsa-miR-139-3p","MIMAT0004552","Homo sapiens","miR-139-3p"
"460","hsa-miR-147a","MIMAT0000251","Homo sapiens","miR-147a"
"461","hsa-miR-7-5p","MIMAT0000252","Homo sapiens","miR-7-5p"
"462","hsa-miR-7-1-3p","MIMAT0004553","Homo sapiens","miR-7-1-3p"
"463","hsa-miR-7-2-3p","MIMAT0004554","Homo sapiens","miR-7-2-3p"
"464","hsa-miR-10a-5p","MIMAT0000253","Homo sapiens","miR-10a-5p"
"465","hsa-miR-10a-3p","MIMAT0004555","Homo sapiens","miR-10a-3p"
"466","hsa-miR-10b-5p","MIMAT0000254","Homo sapiens","miR-10b-5p"
"467","hsa-miR-10b-3p","MIMAT0004556","Homo sapiens","miR-10b-3p"
"468","hsa-miR-34a-5p","MIMAT0000255","Homo sapiens","miR-34a-5p"
"469","hsa-miR-34a-3p","MIMAT0004557","Homo sapiens","miR-34a-3p"
"470","hsa-miR-181a-5p","MIMAT0000256","Homo sapiens","miR-181a-5p"
"471","hsa-miR-181a-2-3p","MIMAT0004558","Homo sapiens","miR-181a-2-3p"
"472","hsa-miR-181b-5p","MIMAT0000257","Homo sapiens","miR-181b-5p"
"473","hsa-miR-181b-3p","MIMAT0022692","Homo sapiens","miR-181b-3p"
"474","hsa-miR-181c-5p","MIMAT0000258","Homo sapiens","miR-181c-5p"
"475","hsa-miR-181c-3p","MIMAT0004559","Homo sapiens","miR-181c-3p"
"476","hsa-miR-182-5p","MIMAT0000259","Homo sapiens","miR-182-5p"
"477","hsa-miR-182-3p","MIMAT0000260","Homo sapiens","miR-182-3p"
"478","hsa-miR-183-5p","MIMAT0000261","Homo sapiens","miR-183-5p"
"479","hsa-miR-183-3p","MIMAT0004560","Homo sapiens","miR-183-3p"
"480","hsa-miR-187-5p","MIMAT0004561","Homo sapiens","miR-187-5p"
"481","hsa-miR-187-3p","MIMAT0000262","Homo sapiens","miR-187-3p"
"482","hsa-miR-196a-3p","MIMAT0004562","Homo sapiens","miR-196a-3p"
"483","hsa-miR-199b-5p","MIMAT0000263","Homo sapiens","miR-199b-5p"
"484","hsa-miR-199b-3p","MIMAT0004563","Homo sapiens","miR-199b-3p"
"485","hsa-miR-203a-5p","MIMAT0031890","Homo sapiens","miR-203a-5p"
"486","hsa-miR-203a-3p","MIMAT0000264","Homo sapiens","miR-203a-3p"
"487","hsa-miR-204-5p","MIMAT0000265","Homo sapiens","miR-204-5p"
"488","hsa-miR-204-3p","MIMAT0022693","Homo sapiens","miR-204-3p"
"489","hsa-miR-205-5p","MIMAT0000266","Homo sapiens","miR-205-5p"
"490","hsa-miR-205-3p","MIMAT0009197","Homo sapiens","miR-205-3p"
"491","hsa-miR-210-5p","MIMAT0026475","Homo sapiens","miR-210-5p"
"492","hsa-miR-210-3p","MIMAT0000267","Homo sapiens","miR-210-3p"
"493","hsa-miR-211-5p","MIMAT0000268","Homo sapiens","miR-211-5p"
"494","hsa-miR-211-3p","MIMAT0022694","Homo sapiens","miR-211-3p"
"495","hsa-miR-212-5p","MIMAT0022695","Homo sapiens","miR-212-5p"
"496","hsa-miR-212-3p","MIMAT0000269","Homo sapiens","miR-212-3p"
"497","hsa-miR-181a-3p","MIMAT0000270","Homo sapiens","miR-181a-3p"
"498","hsa-miR-214-5p","MIMAT0004564","Homo sapiens","miR-214-5p"
"499","hsa-miR-214-3p","MIMAT0000271","Homo sapiens","miR-214-3p"
"500","hsa-miR-215-5p","MIMAT0000272","Homo sapiens","miR-215-5p"
"501","hsa-miR-215-3p","MIMAT0026476","Homo sapiens","miR-215-3p"
"502","hsa-miR-216a-5p","MIMAT0000273","Homo sapiens","miR-216a-5p"
"503","hsa-miR-216a-3p","MIMAT0022844","Homo sapiens","miR-216a-3p"
"504","hsa-miR-217","MIMAT0000274","Homo sapiens","miR-217"
"505","hsa-miR-218-5p","MIMAT0000275","Homo sapiens","miR-218-5p"
"506","hsa-miR-218-1-3p","MIMAT0004565","Homo sapiens","miR-218-1-3p"
"507","hsa-miR-218-2-3p","MIMAT0004566","Homo sapiens","miR-218-2-3p"
"508","hsa-miR-219a-5p","MIMAT0000276","Homo sapiens","miR-219a-5p"
"509","hsa-miR-219a-1-3p","MIMAT0004567","Homo sapiens","miR-219a-1-3p"
"510","hsa-miR-221-5p","MIMAT0004568","Homo sapiens","miR-221-5p"
"511","hsa-miR-221-3p","MIMAT0000278","Homo sapiens","miR-221-3p"
"512","hsa-miR-222-5p","MIMAT0004569","Homo sapiens","miR-222-5p"
"513","hsa-miR-222-3p","MIMAT0000279","Homo sapiens","miR-222-3p"
"514","hsa-miR-223-5p","MIMAT0004570","Homo sapiens","miR-223-5p"
"515","hsa-miR-223-3p","MIMAT0000280","Homo sapiens","miR-223-3p"
"516","hsa-miR-224-5p","MIMAT0000281","Homo sapiens","miR-224-5p"
"517","hsa-miR-224-3p","MIMAT0009198","Homo sapiens","miR-224-3p"
"579","hsa-miR-200b-5p","MIMAT0004571","Homo sapiens","miR-200b-5p"
"580","hsa-miR-200b-3p","MIMAT0000318","Homo sapiens","miR-200b-3p"
"737","hsa-let-7g-5p","MIMAT0000414","Homo sapiens","let-7g-5p"
"738","hsa-let-7g-3p","MIMAT0004584","Homo sapiens","let-7g-3p"
"739","hsa-let-7i-5p","MIMAT0000415","Homo sapiens","let-7i-5p"
"740","hsa-let-7i-3p","MIMAT0004585","Homo sapiens","let-7i-3p"
"741","hsa-miR-1-3p","MIMAT0000416","Homo sapiens","miR-1-3p"
"742","hsa-miR-15b-5p","MIMAT0000417","Homo sapiens","miR-15b-5p"
"743","hsa-miR-15b-3p","MIMAT0004586","Homo sapiens","miR-15b-3p"
"744","hsa-miR-23b-5p","MIMAT0004587","Homo sapiens","miR-23b-5p"
"745","hsa-miR-23b-3p","MIMAT0000418","Homo sapiens","miR-23b-3p"
"746","hsa-miR-27b-5p","MIMAT0004588","Homo sapiens","miR-27b-5p"
"747","hsa-miR-27b-3p","MIMAT0000419","Homo sapiens","miR-27b-3p"
"748","hsa-miR-30b-5p","MIMAT0000420","Homo sapiens","miR-30b-5p"
"749","hsa-miR-30b-3p","MIMAT0004589","Homo sapiens","miR-30b-3p"
"750","hsa-miR-122-5p","MIMAT0000421","Homo sapiens","miR-122-5p"
"751","hsa-miR-122-3p","MIMAT0004590","Homo sapiens","miR-122-3p"
"752","hsa-miR-124-5p","MIMAT0004591","Homo sapiens","miR-124-5p"
"753","hsa-miR-124-3p","MIMAT0000422","Homo sapiens","miR-124-3p"
"754","hsa-miR-125b-5p","MIMAT0000423","Homo sapiens","miR-125b-5p"
"755","hsa-miR-125b-1-3p","MIMAT0004592","Homo sapiens","miR-125b-1-3p"
"756","hsa-miR-128-1-5p","MIMAT0026477","Homo sapiens","miR-128-1-5p"
"757","hsa-miR-128-3p","MIMAT0000424","Homo sapiens","miR-128-3p"
"758","hsa-miR-130a-5p","MIMAT0004593","Homo sapiens","miR-130a-5p"
"759","hsa-miR-130a-3p","MIMAT0000425","Homo sapiens","miR-130a-3p"
"760","hsa-miR-132-5p","MIMAT0004594","Homo sapiens","miR-132-5p"
"761","hsa-miR-132-3p","MIMAT0000426","Homo sapiens","miR-132-3p"
"762","hsa-miR-133a-5p","MIMAT0026478","Homo sapiens","miR-133a-5p"
"763","hsa-miR-133a-3p","MIMAT0000427","Homo sapiens","miR-133a-3p"
"764","hsa-miR-135a-5p","MIMAT0000428","Homo sapiens","miR-135a-5p"
"765","hsa-miR-135a-3p","MIMAT0004595","Homo sapiens","miR-135a-3p"
"766","hsa-miR-137","MIMAT0000429","Homo sapiens","miR-137"
"767","hsa-miR-138-5p","MIMAT0000430","Homo sapiens","miR-138-5p"
"768","hsa-miR-138-2-3p","MIMAT0004596","Homo sapiens","miR-138-2-3p"
"769","hsa-miR-140-5p","MIMAT0000431","Homo sapiens","miR-140-5p"
"770","hsa-miR-140-3p","MIMAT0004597","Homo sapiens","miR-140-3p"
"771","hsa-miR-141-5p","MIMAT0004598","Homo sapiens","miR-141-5p"
"772","hsa-miR-141-3p","MIMAT0000432","Homo sapiens","miR-141-3p"
"773","hsa-miR-142-5p","MIMAT0000433","Homo sapiens","miR-142-5p"
"774","hsa-miR-142-3p","MIMAT0000434","Homo sapiens","miR-142-3p"
"775","hsa-miR-143-5p","MIMAT0004599","Homo sapiens","miR-143-5p"
"776","hsa-miR-143-3p","MIMAT0000435","Homo sapiens","miR-143-3p"
"777","hsa-miR-144-5p","MIMAT0004600","Homo sapiens","miR-144-5p"
"778","hsa-miR-144-3p","MIMAT0000436","Homo sapiens","miR-144-3p"
"779","hsa-miR-145-5p","MIMAT0000437","Homo sapiens","miR-145-5p"
"780","hsa-miR-145-3p","MIMAT0004601","Homo sapiens","miR-145-3p"
"781","hsa-miR-152-5p","MIMAT0026479","Homo sapiens","miR-152-5p"
"782","hsa-miR-152-3p","MIMAT0000438","Homo sapiens","miR-152-3p"
"783","hsa-miR-153-3p","MIMAT0000439","Homo sapiens","miR-153-3p"
"784","hsa-miR-153-5p","MIMAT0026480","Homo sapiens","miR-153-5p"
"785","hsa-miR-191-5p","MIMAT0000440","Homo sapiens","miR-191-5p"
"786","hsa-miR-191-3p","MIMAT0001618","Homo sapiens","miR-191-3p"
"787","hsa-miR-9-5p","MIMAT0000441","Homo sapiens","miR-9-5p"
"788","hsa-miR-9-3p","MIMAT0000442","Homo sapiens","miR-9-3p"
"789","hsa-miR-125a-5p","MIMAT0000443","Homo sapiens","miR-125a-5p"
"790","hsa-miR-125a-3p","MIMAT0004602","Homo sapiens","miR-125a-3p"
"791","hsa-miR-125b-2-3p","MIMAT0004603","Homo sapiens","miR-125b-2-3p"
"792","hsa-miR-126-5p","MIMAT0000444","Homo sapiens","miR-126-5p"
"793","hsa-miR-126-3p","MIMAT0000445","Homo sapiens","miR-126-3p"
"794","hsa-miR-127-5p","MIMAT0004604","Homo sapiens","miR-127-5p"
"795","hsa-miR-127-3p","MIMAT0000446","Homo sapiens","miR-127-3p"
"796","hsa-miR-129-2-3p","MIMAT0004605","Homo sapiens","miR-129-2-3p"
"797","hsa-miR-134-5p","MIMAT0000447","Homo sapiens","miR-134-5p"
"798","hsa-miR-134-3p","MIMAT0026481","Homo sapiens","miR-134-3p"
"799","hsa-miR-136-5p","MIMAT0000448","Homo sapiens","miR-136-5p"
"800","hsa-miR-136-3p","MIMAT0004606","Homo sapiens","miR-136-3p"
"801","hsa-miR-138-1-3p","MIMAT0004607","Homo sapiens","miR-138-1-3p"
"802","hsa-miR-146a-5p","MIMAT0000449","Homo sapiens","miR-146a-5p"
"803","hsa-miR-146a-3p","MIMAT0004608","Homo sapiens","miR-146a-3p"
"804","hsa-miR-149-5p","MIMAT0000450","Homo sapiens","miR-149-5p"
"805","hsa-miR-149-3p","MIMAT0004609","Homo sapiens","miR-149-3p"
"806","hsa-miR-150-5p","MIMAT0000451","Homo sapiens","miR-150-5p"
"807","hsa-miR-150-3p","MIMAT0004610","Homo sapiens","miR-150-3p"
"808","hsa-miR-154-5p","MIMAT0000452","Homo sapiens","miR-154-5p"
"809","hsa-miR-154-3p","MIMAT0000453","Homo sapiens","miR-154-3p"
"810","hsa-miR-184","MIMAT0000454","Homo sapiens","miR-184"
"811","hsa-miR-185-5p","MIMAT0000455","Homo sapiens","miR-185-5p"
"812","hsa-miR-185-3p","MIMAT0004611","Homo sapiens","miR-185-3p"
"813","hsa-miR-186-5p","MIMAT0000456","Homo sapiens","miR-186-5p"
"814","hsa-miR-186-3p","MIMAT0004612","Homo sapiens","miR-186-3p"
"815","hsa-miR-188-5p","MIMAT0000457","Homo sapiens","miR-188-5p"
"816","hsa-miR-188-3p","MIMAT0004613","Homo sapiens","miR-188-3p"
"817","hsa-miR-190a-5p","MIMAT0000458","Homo sapiens","miR-190a-5p"
"818","hsa-miR-190a-3p","MIMAT0026482","Homo sapiens","miR-190a-3p"
"819","hsa-miR-193a-5p","MIMAT0004614","Homo sapiens","miR-193a-5p"
"820","hsa-miR-193a-3p","MIMAT0000459","Homo sapiens","miR-193a-3p"
"821","hsa-miR-194-5p","MIMAT0000460","Homo sapiens","miR-194-5p"
"822","hsa-miR-195-5p","MIMAT0000461","Homo sapiens","miR-195-5p"
"823","hsa-miR-195-3p","MIMAT0004615","Homo sapiens","miR-195-3p"
"824","hsa-miR-206","MIMAT0000462","Homo sapiens","miR-206"
"872","hsa-miR-320a","MIMAT0000510","Homo sapiens","miR-320a"
"1059","hsa-miR-200c-5p","MIMAT0004657","Homo sapiens","miR-200c-5p"
"1060","hsa-miR-200c-3p","MIMAT0000617","Homo sapiens","miR-200c-3p"
"1061","hsa-miR-1-5p","MIMAT0031892","Homo sapiens","miR-1-5p"
"1108","hsa-miR-155-5p","MIMAT0000646","Homo sapiens","miR-155-5p"
"1109","hsa-miR-155-3p","MIMAT0004658","Homo sapiens","miR-155-3p"
"1110","hsa-miR-181b-2-3p","MIMAT0031893","Homo sapiens","miR-181b-2-3p"
"1173","hsa-miR-128-2-5p","MIMAT0031095","Homo sapiens","miR-128-2-5p"
"1181","hsa-miR-194-3p","MIMAT0004671","Homo sapiens","miR-194-3p"
"1183","hsa-miR-106b-5p","MIMAT0000680","Homo sapiens","miR-106b-5p"
"1184","hsa-miR-106b-3p","MIMAT0004672","Homo sapiens","miR-106b-3p"
"1185","hsa-miR-29c-5p","MIMAT0004673","Homo sapiens","miR-29c-5p"
"1186","hsa-miR-29c-3p","MIMAT0000681","Homo sapiens","miR-29c-3p"
"1187","hsa-miR-30c-1-3p","MIMAT0004674","Homo sapiens","miR-30c-1-3p"
"1188","hsa-miR-200a-5p","MIMAT0001620","Homo sapiens","miR-200a-5p"
"1189","hsa-miR-200a-3p","MIMAT0000682","Homo sapiens","miR-200a-3p"
"1190","hsa-miR-302a-5p","MIMAT0000683","Homo sapiens","miR-302a-5p"
"1191","hsa-miR-302a-3p","MIMAT0000684","Homo sapiens","miR-302a-3p"
"1192","hsa-miR-219a-2-3p","MIMAT0004675","Homo sapiens","miR-219a-2-3p"
"1194","hsa-miR-34b-5p","MIMAT0000685","Homo sapiens","miR-34b-5p"
"1195","hsa-miR-34b-3p","MIMAT0004676","Homo sapiens","miR-34b-3p"
"1196","hsa-miR-34c-5p","MIMAT0000686","Homo sapiens","miR-34c-5p"
"1197","hsa-miR-34c-3p","MIMAT0004677","Homo sapiens","miR-34c-3p"
"1198","hsa-miR-299-5p","MIMAT0002890","Homo sapiens","miR-299-5p"
"1199","hsa-miR-299-3p","MIMAT0000687","Homo sapiens","miR-299-3p"
"1200","hsa-miR-301a-5p","MIMAT0022696","Homo sapiens","miR-301a-5p"
"1201","hsa-miR-301a-3p","MIMAT0000688","Homo sapiens","miR-301a-3p"
"1202","hsa-miR-99b-5p","MIMAT0000689","Homo sapiens","miR-99b-5p"
"1203","hsa-miR-99b-3p","MIMAT0004678","Homo sapiens","miR-99b-3p"
"1204","hsa-miR-296-5p","MIMAT0000690","Homo sapiens","miR-296-5p"
"1205","hsa-miR-296-3p","MIMAT0004679","Homo sapiens","miR-296-3p"
"1206","hsa-miR-130b-5p","MIMAT0004680","Homo sapiens","miR-130b-5p"
"1207","hsa-miR-130b-3p","MIMAT0000691","Homo sapiens","miR-130b-3p"
"1208","hsa-miR-30e-5p","MIMAT0000692","Homo sapiens","miR-30e-5p"
"1209","hsa-miR-30e-3p","MIMAT0000693","Homo sapiens","miR-30e-3p"
"1210","hsa-miR-26a-2-3p","MIMAT0004681","Homo sapiens","miR-26a-2-3p"
"1224","hsa-miR-361-5p","MIMAT0000703","Homo sapiens","miR-361-5p"
"1225","hsa-miR-361-3p","MIMAT0004682","Homo sapiens","miR-361-3p"
"1228","hsa-miR-362-5p","MIMAT0000705","Homo sapiens","miR-362-5p"
"1229","hsa-miR-362-3p","MIMAT0004683","Homo sapiens","miR-362-3p"
"1232","hsa-miR-363-5p","MIMAT0003385","Homo sapiens","miR-363-5p"
"1233","hsa-miR-363-3p","MIMAT0000707","Homo sapiens","miR-363-3p"
"1236","hsa-miR-365a-5p","MIMAT0009199","Homo sapiens","miR-365a-5p"
"1237","hsa-miR-365a-3p","MIMAT0000710","Homo sapiens","miR-365a-3p"
"1240","hsa-miR-365b-5p","MIMAT0022833","Homo sapiens","miR-365b-5p"
"1241","hsa-miR-365b-3p","MIMAT0022834","Homo sapiens","miR-365b-3p"
"1242","hsa-miR-302b-5p","MIMAT0000714","Homo sapiens","miR-302b-5p"
"1243","hsa-miR-302b-3p","MIMAT0000715","Homo sapiens","miR-302b-3p"
"1244","hsa-miR-302c-5p","MIMAT0000716","Homo sapiens","miR-302c-5p"
"1245","hsa-miR-302c-3p","MIMAT0000717","Homo sapiens","miR-302c-3p"
"1246","hsa-miR-302d-5p","MIMAT0004685","Homo sapiens","miR-302d-5p"
"1247","hsa-miR-302d-3p","MIMAT0000718","Homo sapiens","miR-302d-3p"
"1248","hsa-miR-367-5p","MIMAT0004686","Homo sapiens","miR-367-5p"
"1249","hsa-miR-367-3p","MIMAT0000719","Homo sapiens","miR-367-3p"
"1250","hsa-miR-376c-5p","MIMAT0022861","Homo sapiens","miR-376c-5p"
"1251","hsa-miR-376c-3p","MIMAT0000720","Homo sapiens","miR-376c-3p"
"1252","hsa-miR-369-5p","MIMAT0001621","Homo sapiens","miR-369-5p"
"1253","hsa-miR-369-3p","MIMAT0000721","Homo sapiens","miR-369-3p"
"1254","hsa-miR-370-5p","MIMAT0026483","Homo sapiens","miR-370-5p"
"1255","hsa-miR-370-3p","MIMAT0000722","Homo sapiens","miR-370-3p"
"1256","hsa-miR-371a-5p","MIMAT0004687","Homo sapiens","miR-371a-5p"
"1257","hsa-miR-371a-3p","MIMAT0000723","Homo sapiens","miR-371a-3p"
"1258","hsa-miR-372-5p","MIMAT0026484","Homo sapiens","miR-372-5p"
"1259","hsa-miR-372-3p","MIMAT0000724","Homo sapiens","miR-372-3p"
"1260","hsa-miR-373-5p","MIMAT0000725","Homo sapiens","miR-373-5p"
"1261","hsa-miR-373-3p","MIMAT0000726","Homo sapiens","miR-373-3p"
"1262","hsa-miR-374a-5p","MIMAT0000727","Homo sapiens","miR-374a-5p"
"1263","hsa-miR-374a-3p","MIMAT0004688","Homo sapiens","miR-374a-3p"
"1264","hsa-miR-375","MIMAT0000728","Homo sapiens","miR-375"
"1265","hsa-miR-376a-5p","MIMAT0003386","Homo sapiens","miR-376a-5p"
"1266","hsa-miR-376a-3p","MIMAT0000729","Homo sapiens","miR-376a-3p"
"1267","hsa-miR-377-5p","MIMAT0004689","Homo sapiens","miR-377-5p"
"1268","hsa-miR-377-3p","MIMAT0000730","Homo sapiens","miR-377-3p"
"1269","hsa-miR-378a-5p","MIMAT0000731","Homo sapiens","miR-378a-5p"
"1270","hsa-miR-378a-3p","MIMAT0000732","Homo sapiens","miR-378a-3p"
